service	7	627	0.011	https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics
covid	11	487	0.023	https://www.covid-19.sa.gov.au/home/dashboard
htm	2	71	0.028	https://coronavirus.tas.gov.au/facts/cases-and-testing-updates
saskatchewan	20	664	0.030	https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan
cdn	118	3083	0.038	https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/
health	11	295	0.037	https://www.health.gov.nl.ca/health/publichealth/cdc/coronavirus/
health	15	378	0.040	https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html
nurse	2	185	0.011	https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html
countries	3	87	0.034	https://www.ecdc.europa.eu/en/covid-19-pandemic
toronto	44	1461	0.030	https://toronto.ctvnews.ca/ontario-reports-highest-number-of-new-covid-19-cases-in-more-than-a-week-1.5057899
ctvnews	29	1464	0.020	https://montreal.ctvnews.ca/quebec-reports-one-new-covid-19-death-156-new-cases-1.5058008
ctvnews	34	2043	0.017	https://www.ctvnews.ca/health/coronavirus
ctvnews	26	1256	0.021	https://winnipeg.ctvnews.ca/manitoba-announces-16-more-cases-of-covid-19-on-monday-1.5057925
regina	16	605	0.026	https://regina.ctvnews.ca/5-new-covid-19-cases-8-more-recoveries-in-sask-1.5057949
ctvnews	19	737	0.026	https://edmonton.ctvnews.ca/five-deaths-257-new-covid-19-cases-in-alberta-over-the-weekend-1.5058212
coronavirus	42	2350	0.018	https://www.ctvnews.ca/health/coronavirus/russia-becomes-first-country-to-register-coronavirus-vaccine-putin-s-daughter-given-it-1.5059182
ctvnews	23	1194	0.019	https://vancouverisland.ctvnews.ca/b-c-reports-131-new-covid-19-cases-surpassing-4-000-since-pandemic-began-1.5058042
ottawa	10	452	0.022	https://ottawa.ctvnews.ca/accused-ottawa-bank-robber-followed-covid-19-protocols-police-1.5058298
ctvnews	28	1153	0.024	https://bc.ctvnews.ca/were-you-at-this-rave-b-c-health-authority-says-you-need-to-watch-for-covid-19-symptoms-1.5058202
ctvnews	44	2050	0.021	https://www.ctvnews.ca/health/coronavirus/covid-19-cases-rise-in-maple-leafs-foods-plant-in-brandon-man-1.5059044
ctvnews	21	1172	0.018	https://www.ctvnews.ca/world/coronavirus-breaks-out-again-in-new-zealand-after-102-days-1.5059206
ottawa	16	881	0.018	https://ottawa.ctvnews.ca/arnprior-ont-teen-starts-own-business-after-not-finding-summer-job-due-to-pandemic-1.5052673
ctvnews	51	2752	0.019	https://www.ctvnews.ca/health/coronavirus/more-than-500-covid-19-infections-in-canada-linked-to-exposures-at-public-places-new-data-suggests-1.5058227
ctvnews	30	1388	0.022	https://bc.ctvnews.ca/b-c-tops-4-000-cases-of-covid-19-after-identifying-another-131-infections-1.5058005
ctvnews	19	767	0.025	https://winnipeg.ctvnews.ca/35-new-covid-19-cases-announced-in-manitoba-sunday-1.5057184
toronto	51	1793	0.028	https://toronto.ctvnews.ca/passengers-with-covid-19-keep-arriving-in-canada-on-international-flights-1.5058347
ctvnews	26	1183	0.022	https://atlantic.ctvnews.ca/n-b-reports-two-new-cases-of-covid-19-in-moncton-area-six-active-1.5053815
covid	9	226	0.040	https://www.gov.nl.ca/covid-19/alert-system/alert-level-2/
covid	10	286	0.035	https://www.gov.nl.ca/covid-19/alert-system/alert-level-3/
